Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
25-07-2018,HDFC,EQ,1975.55,1988.45,2011.85,1984.2,2000,2000.85,1998.75,2503749,5.00438E+14,73218,1696387,0.6775
26-07-2018,HDFC,EQ,2000.85,2004.3,2034.1,1991,2031,2023.4,2014.03,3909895,7.87466E+14,147816,2778462,0.7106
27-07-2018,HDFC,EQ,2023.4,2032,2049.95,2023.25,2045,2047.25,2036.67,1956967,3.98569E+14,83830,1431772,0.7316
30-07-2018,HDFC,EQ,2047.25,2047,2052.95,2013.8,2016,2028.75,2036.01,2176046,4.43045E+14,78769,966830,0.4443
31-07-2018,HDFC,EQ,2028.75,2018.6,2018.6,1971,1988.8,1994.85,1987.35,3581217,7.11714E+14,144898,2156746,0.6022
01-08-2018,HDFC,EQ,1994.85,1995,1995.2,1959.65,1962.5,1970.15,1980.41,3415429,6.76397E+14,133314,2817039,0.8248
02-08-2018,HDFC,EQ,1970.15,1962,1966.5,1927.35,1932,1931.95,1942,2595747,5.04094E+14,142909,1902978,0.7331
03-08-2018,HDFC,EQ,1931.95,1945,1980,1941,1980,1977.5,1968.28,2346246,4.61806E+14,118473,1620054,0.6905
06-08-2018,HDFC,EQ,1977.5,1999,1999,1965.05,1976,1979.3,1979.47,2219237,4.39292E+14,118161,1551217,0.699
07-08-2018,HDFC,EQ,1979.3,1982,1992.9,1968.55,1976.4,1978.6,1981.2,1680478,3.32936E+14,95314,1197633,0.7127
08-08-2018,HDFC,EQ,1978.6,1976,1989.75,1953.4,1983.65,1984.6,1975.61,1507070,2.97738E+14,114320,951192,0.6312
09-08-2018,HDFC,EQ,1984.6,1988,1988.7,1961.35,1971.75,1969.95,1972.77,1789926,3.53112E+14,129148,1148356,0.6416
10-08-2018,HDFC,EQ,1969.95,1969.95,1980,1951.3,1980,1974.3,1963.96,1737395,3.41217E+14,118477,1236011,0.7114
13-08-2018,HDFC,EQ,1974.3,1967,1967.35,1939.2,1947.7,1947,1945.97,1195249,2.32592E+14,82427,754363,0.6311
14-08-2018,HDFC,EQ,1947,1956,1970.65,1937.8,1940,1941.5,1953.53,1761582,3.44131E+14,101899,1224440,0.6951
16-08-2018,HDFC,EQ,1941.5,1936.5,1936.5,1888.55,1892.2,1891.2,1907.11,3850598,7.34351E+14,151587,2953162,0.7669
17-08-2018,HDFC,EQ,1891.2,1897,1903,1881,1882.3,1885.65,1892.02,2387431,4.51707E+14,143096,1733052,0.7259
20-08-2018,HDFC,EQ,1885.65,1894.75,1923.55,1891.3,1920.85,1920.05,1915.19,1815999,3.47799E+14,104697,1289200,0.7099
21-08-2018,HDFC,EQ,1920.05,1915.05,1931.8,1906.55,1915,1913.35,1916.42,1602054,3.0702E+14,75553,1086709,0.6783
23-08-2018,HDFC,EQ,1913.35,1954.95,1954.95,1900.5,1905,1906.3,1925.56,2900920,5.5859E+14,148961,2211588,0.7624
24-08-2018,HDFC,EQ,1906.3,1904,1921.65,1901,1917,1919.05,1914.46,1594287,3.0522E+14,67017,1070139,0.6712
27-08-2018,HDFC,EQ,1919.05,1926.9,1935,1916.7,1924.9,1924.85,1926.63,1366731,2.63319E+14,67373,1013092,0.7413
28-08-2018,HDFC,EQ,1924.85,1927.2,1958.95,1926,1956,1955.15,1946.42,2013110,3.91836E+14,102359,1532860,0.7614
29-08-2018,HDFC,EQ,1955.15,1959.4,1971.4,1944.7,1949,1956.25,1958.79,2367281,4.637E+14,106131,1744608,0.737
30-08-2018,HDFC,EQ,1956.25,1950,1964.45,1928.25,1933,1934.15,1938.39,2466442,4.78093E+14,89377,1871394,0.7587
31-08-2018,HDFC,EQ,1934.15,1940.9,1942.45,1908.05,1940.85,1935.95,1925.82,3856093,7.42615E+14,152636,2812171,0.7293
03-09-2018,HDFC,EQ,1935.95,1950,1950,1928.1,1943,1944.8,1939.87,2310201,4.48148E+14,106865,1847906,0.7999
04-09-2018,HDFC,EQ,1944.8,1939,1959.65,1939,1950.75,1954.8,1952.12,2928533,5.71683E+14,133601,2408987,0.8226
05-09-2018,HDFC,EQ,1954.8,1950,1965,1923.05,1931.6,1937.4,1939.78,3587932,6.9598E+14,129547,2781986,0.7754
06-09-2018,HDFC,EQ,1937.4,1949,1960.6,1928.45,1953.8,1956.15,1945.23,4311847,8.38752E+14,129013,3635886,0.8432
07-09-2018,HDFC,EQ,1956.15,1963.5,1963.5,1915.05,1922.9,1920,1932.77,2253314,4.35515E+14,101307,1213564,0.5386
10-09-2018,HDFC,EQ,1920,1915,1916,1878.25,1880.2,1883.55,1891.11,2191420,4.14423E+14,106851,1440182,0.6572
